ticker,bench,events_total,events_pre_total,events_intra_total,events_post_total,blue_any_rate,blue_hard_rate,blue_soft_rate,ark_any_rate,ark_hard_rate,ark_soft_rate,print_any_rate,print_hard_rate,print_soft_rate,open_any_rate,open_hard_rate,open_soft_rate,global_any_rate,global_hard_rate,global_soft_rate,intra_any_rate,intra_hard_rate,intra_soft_rate,post_any_rate,post_hard_rate,post_soft_rate,corr,beta,sigma
IBTF,SPY,43,22,21,0,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,,,,0.02,0.0,0.03
IBTI,SPY,64,39,25,0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.0,0.02564102564102564,0.1282051282051282,0.05128205128205128,0.07692307692307693,0.1794871794871795,0.07692307692307693,0.10256410256410256,0.0,0.0,0.0,,,,0.33,0.06,0.08
IBTJ,SPY,40,22,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.13636363636363635,0.0,0.13636363636363635,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,,,,0.1,0.06,0.1
IBTK,SPY,54,38,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.07894736842105263,0.0,0.07894736842105263,0.0,0.0,0.0,,,,0.11,0.04,0.11
IBTL,SPY,61,46,15,0,0.0,0.0,0.0,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.043478260869565216,0.0,0.043478260869565216,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.13043478260869565,0.06521739130434782,0.06521739130434782,0.0,0.0,0.0,,,,0.28,0.07,0.14
IBTM,SPY,54,40,14,0,0.0,0.0,0.0,0.075,0.05,0.025,0.125,0.075,0.05,0.075,0.05,0.025,0.175,0.1,0.075,0.0,0.0,0.0,,,,0.26,0.05,0.16
ICE,XLF,75,29,46,0,0.0,0.0,0.0,0.13793103448275862,0.06896551724137931,0.06896551724137931,0.3448275862068966,0.0,0.3448275862068966,0.6206896551724138,0.3448275862068966,0.27586206896551724,0.7241379310344828,0.2413793103448276,0.4827586206896552,0.0,0.0,0.0,,,,0.71,0.79,0.53
ICFI,IWM,19,5,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.43,0.26,1.25
ICHR,SPY,116,59,57,0,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.4406779661016949,0.22033898305084745,0.22033898305084745,0.3050847457627119,0.0847457627118644,0.22033898305084745,0.5254237288135594,0.2542372881355932,0.2711864406779661,0.6949152542372882,0.3728813559322034,0.3220338983050847,0.0,0.0,0.0,,,,0.89,3.48,4.1
ICLN,SPY,115,61,54,0,0.18032786885245902,0.0,0.18032786885245902,0.4098360655737705,0.21311475409836064,0.19672131147540983,0.21311475409836064,0.01639344262295082,0.19672131147540983,0.3114754098360656,0.16393442622950818,0.14754098360655737,0.5737704918032787,0.2459016393442623,0.32786885245901637,0.0,0.0,0.0,,,,0.88,1.61,0.98
ICLR,IWM,40,8,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.125,0.25,0.125,0.125,0.0,0.0,0.0,,,,0.36,0.19,1.3
